Date / Time,CPU Usage %,Temperature C
2022-05-10 23:11:01.556294,0.4,56.9
2022-05-10 23:11:11.792578,0.4,56.9
2022-05-10 23:11:22.069307,0.4,55.8
2022-05-10 23:11:32.295292,0.5,56.4
2022-05-10 23:11:42.521698,0.4,56.4
2022-05-10 23:11:52.740532,0.4,56.4
2022-05-10 23:12:03.071194,0.5,55.8
2022-05-10 23:12:13.322185,0.5,55.8
2022-05-10 23:12:23.561464,0.5,55.8
2022-05-10 23:12:33.802740,0.5,55.8
2022-05-10 23:12:44.034591,0.6,56.4
2022-05-10 23:12:54.268452,0.7,56.9
2022-05-10 23:13:04.485599,1.5,56.9
2022-05-10 23:13:14.723485,1.5,56.9
2022-05-10 23:13:24.970422,0.8,56.9
2022-05-10 23:13:35.217060,0.4,56.4
2022-05-10 23:13:45.481599,0.6,56.9
2022-05-10 23:13:55.804707,0.8,56.4
2022-05-10 23:14:06.183940,0.4,56.4
2022-05-10 23:14:16.443618,0.4,56.4
2022-05-10 23:14:26.679783,0.4,56.4
2022-05-10 23:14:36.933208,0.4,56.4
2022-05-10 23:14:47.249917,0.3,55.8
2022-05-10 23:14:57.482422,0.9,56.4
2022-05-10 23:15:07.711344,0.7,56.4
2022-05-10 23:15:17.929559,0.4,56.4
2022-05-10 23:15:28.179069,0.4,56.4
2022-05-10 23:15:38.400446,0.4,55.8
2022-05-10 23:15:48.706601,0.3,55.8
2022-05-10 23:15:58.969433,0.6,55.8
2022-05-10 23:16:09.186761,0.4,56.4
2022-05-10 23:16:19.410040,0.7,56.4
2022-05-10 23:16:29.639105,0.9,55.8
2022-05-10 23:16:40.057478,0.3,55.8
2022-05-10 23:16:50.375176,0.4,55.8
2022-05-10 23:17:00.659843,0.4,55.8
2022-05-10 23:17:10.886209,0.6,55.8
2022-05-10 23:17:21.201834,0.4,55.8
2022-05-10 23:17:31.713905,0.3,55.8
2022-05-10 23:17:42.036392,0.4,56.4
2022-05-10 23:17:52.317412,0.5,54.8
2022-05-10 23:18:02.558518,0.4,55.8
